,response1,subjectID,age,gender,numberofsiblings,gamestrategy
40,"{
  ""subjectID"": ""subj12345"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""history"": [
      {
        ""donationID"": ""don001"",
        ""amount"": 50,
        ""organization"": ""Red Cross"",
        ""date"": ""2021-07-15""
      },
      {
        ""donationID"": ""don002"",
        ""amount"": 100,
        ""organization"": ""Doctors Without Borders"",
        ""date"": ""2022-03-22""
      }
    ]
  },
  ""strategy"": [
    {
      ""gameID"": ""game1"",
      ""role"": ""A"",
      ""decision"": ""maximize own payoff by choosing the option with highest immediate reward""
    },
    {
      ""gameID"": ""game2"",
      ""role"": ""B"",
      ""decision"": ""reciprocate fairly to the decision made by player A""
    },
    {
      ""gameID"": ""game3"",
      ""role"": ""A"",
      ""decision"": ""split resources evenly to ensure mutual benefit""
    }
  ]
}",subj12345,29,female,2,"[{'gameID': 'game1', 'role': 'A', 'decision': 'maximize own payoff by choosing the option with highest immediate reward'}, {'gameID': 'game2', 'role': 'B', 'decision': 'reciprocate fairly to the decision made by player A'}, {'gameID': 'game3', 'role': 'A', 'decision': 'split resources evenly to ensure mutual benefit'}]"
41,"
{
  ""subjectID"": ""SID1023"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""2021"": 150,
    ""2022"": 200,
    ""2023"": 250
  },
  ""strategy"": {
    ""game1"": {
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    ""game2"": {
      ""role"": ""B"",
      ""decision"": ""Retaliate""
    },
    ""game3"": {
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    ""game4"": {
      ""role"": ""B"",
      ""decision"": ""Forgive""
    },
    ""game5"": {
      ""role"": ""A"",
      ""decision"": ""Defect""
    },
    ""game6"": {
      ""role"": ""B"",
      ""decision"": ""Match Previous""
    },
    ""game7"": {
      ""role"": ""A"",
      ""decision"": ""Random""
    }
  }
}",SID1023,28,Female,2,"{'game1': {'role': 'A', 'decision': 'Cooperate'}, 'game2': {'role': 'B', 'decision': 'Retaliate'}, 'game3': {'role': 'A', 'decision': 'Cooperate'}, 'game4': {'role': 'B', 'decision': 'Forgive'}, 'game5': {'role': 'A', 'decision': 'Defect'}, 'game6': {'role': 'B', 'decision': 'Match Previous'}, 'game7': {'role': 'A', 'decision': 'Random'}}"
42,"{
  ""subjectID"": ""A12345"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""charity"": ""Save the Children"",
    ""amount"": 50,
    ""frequency"": ""monthly""
  },
  ""strategy"": {
    ""game1"": ""tit-for-tat"",
    ""game2"": ""random"",
    ""game3"": ""always cooperate"",
    ""game4"": ""tit-for-tat"",
    ""game5"": ""always defect"",
    ""game6"": ""random"",
    ""game7"": ""tit-for-tat""
  }
}",A12345,29,Female,2,"{'game1': 'tit-for-tat', 'game2': 'random', 'game3': 'always cooperate', 'game4': 'tit-for-tat', 'game5': 'always defect', 'game6': 'random', 'game7': 'tit-for-tat'}"
43,"{
    ""subjectID"": ""P12345"",
    ""age"": 28,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": {
        ""charities"": [
            {
                ""name"": ""Red Cross"",
                ""amount"": 50
            },
            {
                ""name"": ""UNICEF"",
                ""amount"": 30
            },
            {
                ""name"": ""Local Animal Shelter"",
                ""amount"": 20
            }
        ],
        ""totalDonations"": 100
    },
    ""strategy"": [
        {
            ""game"": ""Ultimatum Game"",
            ""role"": ""A"",
            ""decision"": ""Offer 50%""
        },
        {
            ""game"": ""Dictator Game"",
            ""role"": ""A"",
            ""decision"": ""Give 20%""
        },
        {
            ""game"": ""Trust Game"",
            ""role"": ""B"",
            ""decision"": ""Return 50%""
        },
        {
            ""game"": ""Public Goods Game"",
            ""role"": ""Participant"",
            ""decision"": ""Contribute 40% of endowment""
        },
        {
            ""game"": ""Prisoner's Dilemma"",
            ""role"": ""Player"",
            ""decision"": ""Cooperate""
        }
    ]
}",P12345,28,Female,2,"[{'game': 'Ultimatum Game', 'role': 'A', 'decision': 'Offer 50%'}, {'game': 'Dictator Game', 'role': 'A', 'decision': 'Give 20%'}, {'game': 'Trust Game', 'role': 'B', 'decision': 'Return 50%'}, {'game': 'Public Goods Game', 'role': 'Participant', 'decision': 'Contribute 40% of endowment'}, {'game': ""Prisoner's Dilemma"", 'role': 'Player', 'decision': 'Cooperate'}]"
44,"{
  ""subjectID"": ""12345678"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-06-15""
    },
    {
      ""organization"": ""Doctors Without Borders"",
      ""amount"": 30,
      ""date"": ""2023-03-22""
    }
  ],
  ""strategy"": [
    {
      ""game"": ""Prisoner's Dilemma"",
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Ultimatum Game"",
      ""role"": ""B"",
      ""decision"": ""Accept""
    },
    {
      ""game"": ""Trust Game"",
      ""role"": ""A"",
      ""decision"": ""Trust""
    }
  ]
}",12345678,28,Female,2,"[{'game': ""Prisoner's Dilemma"", 'role': 'A', 'decision': 'Cooperate'}, {'game': 'Ultimatum Game', 'role': 'B', 'decision': 'Accept'}, {'game': 'Trust Game', 'role': 'A', 'decision': 'Trust'}]"
45,"{
  ""subjectID"": ""A12345"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""charity"": ""Red Cross"",
      ""amount"": 50
    },
    {
      ""charity"": ""World Wildlife Fund"",
      ""amount"": 30
    }
  ],
  ""strategy"": [
    {
      ""game"": ""Ultimatum Game"",
      ""role"": ""A"",
      ""decision"": ""Offer 40% of the total amount""
    },
    {
      ""game"": ""Trust Game"",
      ""role"": ""B"",
      ""decision"": ""Return 50% of the amount received""
    },
    {
      ""game"": ""Public Goods Game"",
      ""role"": ""A"",
      ""decision"": ""Contribute 20 tokens""
    },
    {
      ""game"": ""Dictator Game"",
      ""role"": ""A"",
      ""decision"": ""Give 30% of the total amount""
    },
    {
      ""game"": ""Prisoner's Dilemma"",
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Chicken Game"",
      ""role"": ""A"",
      ""decision"": ""Swerve""
    },
    {
      ""game"": ""Stag Hunt Game"",
      ""role"": ""A"",
      ""decision"": ""Hunt stag""
    }
  ]
}",A12345,28,Female,2,"[{'game': 'Ultimatum Game', 'role': 'A', 'decision': 'Offer 40% of the total amount'}, {'game': 'Trust Game', 'role': 'B', 'decision': 'Return 50% of the amount received'}, {'game': 'Public Goods Game', 'role': 'A', 'decision': 'Contribute 20 tokens'}, {'game': 'Dictator Game', 'role': 'A', 'decision': 'Give 30% of the total amount'}, {'game': ""Prisoner's Dilemma"", 'role': 'A', 'decision': 'Cooperate'}, {'game': 'Chicken Game', 'role': 'A', 'decision': 'Swerve'}, {'game': 'Stag Hunt Game', 'role': 'A', 'decision': 'Hunt stag'}]"
46,"{
  ""subjectID"": ""A10345"",
  ""age"": 29,
  ""gender"": ""male"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 25,
      ""date"": ""2023-02-15""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 10,
      ""date"": ""2022-12-10""
    },
    {
      ""organization"": ""Local Homeless Shelter"",
      ""amount"": 15,
      ""date"": ""2023-06-05""
    }
  ],
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""allocate 50% to self, 50% to other""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""accept offer if ≥ 40%, reject otherwise""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""offer 30%""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""accept offer if ≥ 25%, reject otherwise""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""allocate 60% to self, 40% to other""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""accept offer if ≥ 35%, reject otherwise""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""allocate 55% to self, 45% to other""
    }
  ]
}",A10345,29,male,2,"[{'gameID': 1, 'role': 'A', 'decision': 'allocate 50% to self, 50% to other'}, {'gameID': 2, 'role': 'B', 'decision': 'accept offer if ≥ 40%, reject otherwise'}, {'gameID': 3, 'role': 'A', 'decision': 'offer 30%'}, {'gameID': 4, 'role': 'B', 'decision': 'accept offer if ≥ 25%, reject otherwise'}, {'gameID': 5, 'role': 'A', 'decision': 'allocate 60% to self, 40% to other'}, {'gameID': 6, 'role': 'B', 'decision': 'accept offer if ≥ 35%, reject otherwise'}, {'gameID': 7, 'role': 'A', 'decision': 'allocate 55% to self, 45% to other'}]"
47,"{
  ""subjectID"": ""A12345XYZ"",
  ""age"": 29,
  ""gender"": ""Non-binary"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-06-15""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 30,
      ""date"": ""2023-02-10""
    }
  ],
  ""strategy"": {
    ""Game1"": {
      ""Role"": ""A"",
      ""Decision"": ""Cooperate""
    },
    ""Game2"": {
      ""Role"": ""B"",
      ""Decision"": ""Defect""
    },
    ""Game3"": {
      ""Role"": ""A"",
      ""Decision"": ""Split Evenly""
    },
    ""Game4"": {
      ""Role"": ""B"",
      ""Decision"": ""Match A's Decision""
    },
    ""Game5"": {
      ""Role"": ""A"",
      ""Decision"": ""Maximize Own Payoff""
    },
    ""Game6"": {
      ""Role"": ""B"",
      ""Decision"": ""Reciprocate A's Fair Offer""
    },
    ""Game7"": {
      ""Role"": ""A"",
      ""Decision"": ""Fair Split""
    }
  }
}",A12345XYZ,29,Non-binary,2,"{'Game1': {'Role': 'A', 'Decision': 'Cooperate'}, 'Game2': {'Role': 'B', 'Decision': 'Defect'}, 'Game3': {'Role': 'A', 'Decision': 'Split Evenly'}, 'Game4': {'Role': 'B', 'Decision': ""Match A's Decision""}, 'Game5': {'Role': 'A', 'Decision': 'Maximize Own Payoff'}, 'Game6': {'Role': 'B', 'Decision': ""Reciprocate A's Fair Offer""}, 'Game7': {'Role': 'A', 'Decision': 'Fair Split'}}"
48,"{
  ""subjectID"": ""A1234567"",
  ""age"": 28,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""totalDonations"": 150,
    ""organization"": {
      ""RedCross"": 50,
      ""UNICEF"": 100
    },
    ""timeFrame"": ""last year""
  },
  ""strategy"": {
    ""game1"": ""tit-for-tat"",
    ""game2"": ""random"",
    ""game3"": ""altruistic"",
    ""game4"": ""maximin"",
    ""game5"": ""whatever-my-partner-did-last"",
    ""game6"": ""always-cooperate"",
    ""game7"": ""always-defect""
  }
}",A1234567,28,female,2,"{'game1': 'tit-for-tat', 'game2': 'random', 'game3': 'altruistic', 'game4': 'maximin', 'game5': 'whatever-my-partner-did-last', 'game6': 'always-cooperate', 'game7': 'always-defect'}"
49,"{
  ""subjectID"": ""A12345"",
  ""age"": 27,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 100,
      ""date"": ""2022-01-15""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 50,
      ""date"": ""2022-05-10""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Match A's choice""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Maximize own payoff""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Split evenly""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""50/50 if fair, otherwise defect""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Maximize group benefit""
    }
  ]
}",A12345,27,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': ""Match A's choice""}, {'game': 3, 'role': 'A', 'decision': 'Defect'}, {'game': 4, 'role': 'B', 'decision': 'Maximize own payoff'}, {'game': 5, 'role': 'A', 'decision': 'Split evenly'}, {'game': 6, 'role': 'B', 'decision': '50/50 if fair, otherwise defect'}, {'game': 7, 'role': 'A', 'decision': 'Maximize group benefit'}]"
50,"{
  ""subjectID"": ""PART123456"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""charity"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-04-15""
    },
    {
      ""charity"": ""Save the Children"",
      ""amount"": 30,
      ""date"": ""2023-03-20""
    }
  ],
  ""strategy"": {
    ""Game1"": {
      ""role"": ""A"",
      ""decision"": ""maximize payoff for self""
    },
    ""Game2"": {
      ""role"": ""B"",
      ""decision"": ""reciprocate favorably""
    },
    ""Game3"": {
      ""role"": ""A"",
      ""decision"": ""split evenly""
    },
    ""Game4"": {
      ""role"": ""B"",
      ""decision"": ""trust counterpart""
    },
    ""Game5"": {
      ""role"": ""A"",
      ""decision"": ""take moderate risk""
    },
    ""Game6"": {
      ""role"": ""B"",
      ""decision"": ""cooperate for mutual gain""
    },
    ""Game7"": {
      ""role"": ""A"",
      ""decision"": ""prioritize fairness""
    }
  }
}",PART123456,29,Female,2,"{'Game1': {'role': 'A', 'decision': 'maximize payoff for self'}, 'Game2': {'role': 'B', 'decision': 'reciprocate favorably'}, 'Game3': {'role': 'A', 'decision': 'split evenly'}, 'Game4': {'role': 'B', 'decision': 'trust counterpart'}, 'Game5': {'role': 'A', 'decision': 'take moderate risk'}, 'Game6': {'role': 'B', 'decision': 'cooperate for mutual gain'}, 'Game7': {'role': 'A', 'decision': 'prioritize fairness'}}"
51,"{
    ""subjectID"": ""A123456"",
    ""age"": 27,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {
            ""date"": ""2022-09-15"",
            ""amount"": 50,
            ""organization"": ""Red Cross""
        },
        {
            ""date"": ""2023-03-22"",
            ""amount"": 20,
            ""organization"": ""Local Food Bank""
        }
    ],
    ""strategy"": [
        {
            ""game"": 1,
            ""role"": ""A"",
            ""description"": ""Prioritized cooperation for mutual benefit""
        },
        {
            ""game"": 2,
            ""role"": ""B"",
            ""description"": ""Reciprocated the decision made by Player A""
        },
        {
            ""game"": 3,
            ""role"": ""A"",
            ""description"": ""Tested trust levels with a moderate offer""
        },
        {
            ""game"": 4,
            ""role"": ""B"",
            ""description"": ""Adjusted decision according to Player A's trust level""
        },
        {
            ""game"": 5,
            ""role"": ""A"",
            ""description"": ""Maximized own benefit while leaving some for Player B""
        },
        {
            ""game"": 6,
            ""role"": ""A"",
            ""description"": ""Attempted to find balance between fairness and self-interest""
        },
        {
            ""game"": 7,
            ""role"": ""B"",
            ""description"": ""Strategically matched Player A's decision to maintain fairness""
        }
    ]
}",A123456,27,Female,2,"[{'game': 1, 'role': 'A', 'description': 'Prioritized cooperation for mutual benefit'}, {'game': 2, 'role': 'B', 'description': 'Reciprocated the decision made by Player A'}, {'game': 3, 'role': 'A', 'description': 'Tested trust levels with a moderate offer'}, {'game': 4, 'role': 'B', 'description': ""Adjusted decision according to Player A's trust level""}, {'game': 5, 'role': 'A', 'description': 'Maximized own benefit while leaving some for Player B'}, {'game': 6, 'role': 'A', 'description': 'Attempted to find balance between fairness and self-interest'}, {'game': 7, 'role': 'B', 'description': ""Strategically matched Player A's decision to maintain fairness""}]"
52,"{
  ""subjectID"": ""ABC123"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {""charity"": ""Red Cross"", ""amount"": 50},
    {""charity"": ""Save the Children"", ""amount"": 30},
    {""charity"": ""World Wildlife Fund"", ""amount"": 40}
  ],
  ""strategy"": [
    {""game1"": ""Tit-for-Tat""},
    {""game2"": ""Always Cooperate""},
    {""game3"": ""Random Choice""},
    {""game4"": ""Grim Trigger""},
    {""game5"": ""Tit-for-Tat with forgiveness""},
    {""game6"": ""Always Defect""},
    {""game7"": ""Mixed Strategy (70% Cooperate, 30% Defect)""}
  ]
}",ABC123,29,Female,2,"[{'game1': 'Tit-for-Tat'}, {'game2': 'Always Cooperate'}, {'game3': 'Random Choice'}, {'game4': 'Grim Trigger'}, {'game5': 'Tit-for-Tat with forgiveness'}, {'game6': 'Always Defect'}, {'game7': 'Mixed Strategy (70% Cooperate, 30% Defect)'}]"
53,"{
  ""subjectID"": ""1234567890ABC"",
  ""age"": 26,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2023-01-15""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 30,
      ""date"": ""2022-06-23""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Split Equally""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Trust""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Tit-for-Tat""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Maximize Own Payoff""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Random Choice""
    }
  ]
}",1234567890ABC,26,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': 'Defect'}, {'game': 3, 'role': 'A', 'decision': 'Split Equally'}, {'game': 4, 'role': 'B', 'decision': 'Trust'}, {'game': 5, 'role': 'A', 'decision': 'Tit-for-Tat'}, {'game': 6, 'role': 'B', 'decision': 'Maximize Own Payoff'}, {'game': 7, 'role': 'A', 'decision': 'Random Choice'}]"
54,"{
  ""subjectID"": ""A1B2C3D4"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Cancer Research"",
      ""amount"": 50
    },
    {
      ""organization"": ""Local Food Bank"",
      ""amount"": 20
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    }
  ]
}",A1B2C3D4,29,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': 'Defect'}, {'game': 3, 'role': 'A', 'decision': 'Cooperate'}, {'game': 4, 'role': 'B', 'decision': 'Defect'}, {'game': 5, 'role': 'A', 'decision': 'Cooperate'}, {'game': 6, 'role': 'B', 'decision': 'Defect'}, {'game': 7, 'role': 'A', 'decision': 'Cooperate'}]"
55,"{
  ""subjectID"": ""subj_001"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {""organization"": ""Red Cross"", ""amount"": 50, ""date"": ""2023-05-12""},
    {""organization"": ""UNICEF"", ""amount"": 30, ""date"": ""2022-11-23""},
    {""organization"": ""Local Food Bank"", ""amount"": 20, ""date"": ""2023-01-15""}
  ],
  ""strategy"": [
    {""gameID"": 1, ""role"": ""A"", ""decision"": ""Cooperate"", ""reasoning"": ""Believes in mutual benefit and trust.""},
    {""gameID"": 2, ""role"": ""B"", ""decision"": ""Defect"", ""reasoning"": ""Suspicious of counterpart's intentions.""},
    {""gameID"": 3, ""role"": ""A"", ""decision"": ""Cooperate"", ""reasoning"": ""Long-term payoff strategy.""},
    {""gameID"": 4, ""role"": ""B"", ""decision"": ""Cooperate"", ""reasoning"": ""Trust built over previous interactions.""},
    {""gameID"": 5, ""role"": ""A"", ""decision"": ""Defect"", ""reasoning"": ""Decided to test limits of other player.""},
    {""gameID"": 6, ""role"": ""B"", ""decision"": ""Cooperate"", ""reasoning"": ""Predicts opponent will cooperate.""},
    {""gameID"": 7, ""role"": ""A"", ""decision"": ""Cooperate"", ""reasoning"": ""Focuses on reputation and trustworthiness.""}
  ]
}",subj_001,29,Female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'Cooperate', 'reasoning': 'Believes in mutual benefit and trust.'}, {'gameID': 2, 'role': 'B', 'decision': 'Defect', 'reasoning': ""Suspicious of counterpart's intentions.""}, {'gameID': 3, 'role': 'A', 'decision': 'Cooperate', 'reasoning': 'Long-term payoff strategy.'}, {'gameID': 4, 'role': 'B', 'decision': 'Cooperate', 'reasoning': 'Trust built over previous interactions.'}, {'gameID': 5, 'role': 'A', 'decision': 'Defect', 'reasoning': 'Decided to test limits of other player.'}, {'gameID': 6, 'role': 'B', 'decision': 'Cooperate', 'reasoning': 'Predicts opponent will cooperate.'}, {'gameID': 7, 'role': 'A', 'decision': 'Cooperate', 'reasoning': 'Focuses on reputation and trustworthiness.'}]"
56,"{
    ""subjectID"": ""A1234567"",
    ""age"": 28,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {
            ""organization"": ""Red Cross"",
            ""amount"": 50,
            ""date"": ""2022-05-15""
        },
        {
            ""organization"": ""Local Food Bank"",
            ""amount"": 25,
            ""date"": ""2022-11-22""
        }
    ],
    ""strategy"": [
        {
            ""game"": 1,
            ""role"": ""A"",
            ""strategy"": ""Cooperate""
        },
        {
            ""game"": 2,
            ""role"": ""B"",
            ""strategy"": ""Defect""
        },
        {
            ""game"": 3,
            ""role"": ""A"",
            ""strategy"": ""Tit-for-Tat""
        },
        {
            ""game"": 4,
            ""role"": ""B"",
            ""strategy"": ""Always Cooperate""
        },
        {
            ""game"": 5,
            ""role"": ""A"",
            ""strategy"": ""Random""
        },
        {
            ""game"": 6,
            ""role"": ""B"",
            ""strategy"": ""Grim Trigger""
        },
        {
            ""game"": 7,
            ""role"": ""A"",
            ""strategy"": ""Win-Stay, Lose-Shift""
        }
    ]
}",A1234567,28,Female,2,"[{'game': 1, 'role': 'A', 'strategy': 'Cooperate'}, {'game': 2, 'role': 'B', 'strategy': 'Defect'}, {'game': 3, 'role': 'A', 'strategy': 'Tit-for-Tat'}, {'game': 4, 'role': 'B', 'strategy': 'Always Cooperate'}, {'game': 5, 'role': 'A', 'strategy': 'Random'}, {'game': 6, 'role': 'B', 'strategy': 'Grim Trigger'}, {'game': 7, 'role': 'A', 'strategy': 'Win-Stay, Lose-Shift'}]"
57,"{
  ""subjectID"": ""participant_67342"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-11-15""
    },
    {
      ""organization"": ""UNICEF"",
      ""amount"": 30,
      ""date"": ""2023-04-05""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    }
  ]
}",participant_67342,29,female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': 'Defect'}, {'game': 3, 'role': 'A', 'decision': 'Cooperate'}, {'game': 4, 'role': 'B', 'decision': 'Defect'}, {'game': 5, 'role': 'A', 'decision': 'Cooperate'}, {'game': 6, 'role': 'B', 'decision': 'Defect'}, {'game': 7, 'role': 'A', 'decision': 'Cooperate'}]"
58,"{
  ""subjectID"": ""XYZ123456"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-06-15""
    },
    {
      ""organization"": ""WWF"",
      ""amount"": 30,
      ""date"": ""2022-09-10""
    },
    {
      ""organization"": ""Local Animal Shelter"",
      ""amount"": 20,
      ""date"": ""2023-01-05""
    }
  ],
  ""strategy"": [
    {
      ""gameNumber"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameNumber"": 2,
      ""role"": ""B"",
      ""decision"": ""Retaliate""
    },
    {
      ""gameNumber"": 3,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameNumber"": 4,
      ""role"": ""A"",
      ""decision"": ""Defect""
    },
    {
      ""gameNumber"": 5,
      ""role"": ""B"",
      ""decision"": ""Reciprocate""
    },
    {
      ""gameNumber"": 6,
      ""role"": ""B"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameNumber"": 7,
      ""role"": ""A"",
      ""decision"": ""Split""
    }
  ]
}",XYZ123456,29,Female,2,"[{'gameNumber': 1, 'role': 'A', 'decision': 'Cooperate'}, {'gameNumber': 2, 'role': 'B', 'decision': 'Retaliate'}, {'gameNumber': 3, 'role': 'A', 'decision': 'Cooperate'}, {'gameNumber': 4, 'role': 'A', 'decision': 'Defect'}, {'gameNumber': 5, 'role': 'B', 'decision': 'Reciprocate'}, {'gameNumber': 6, 'role': 'B', 'decision': 'Cooperate'}, {'gameNumber': 7, 'role': 'A', 'decision': 'Split'}]"
